debate,form,year,month,day,pagenum,description,wordn
2016PLasVegasNV,0,2015,9,19,,Presidential Debate at the University of Nevada in Las Vegas,1
2016PStLouisMO,0,2016,10,9,,"Presidential Debate at Washington University in St. Louis, MO",1
2016PDaytonOH,0,2016,9,26,,"Presidential Debate at Wright State University in Dayton, Ohio",1
2016VFarmvilleVA,0,2016,10,4,,"Vice Presidential Debate at Longwood University in Farmville, Virginia",1
2016DMiamiFL,0,2016,3,9,,"Democratic Candidates Debate in Miami, FL",1
2016DTBDWS,0,2016,2,11,,"Democratic Candidates Debate in TBD, Wisconsin",1
2016DCharlestonSC,0,2016,1,17,,"Democratic Candidates Debate in Charleston, South Carolina",1
2016DManchesterNH,,2015,12,19,111178,"Democratic Candidates Debate in Manchester, New Hampshire",1
2016DDesMoinesIA,,2015,11,14,110910,"Democratic Candidates Debate in Des Moines, IA",1
2016DLasVegasNV,,2015,10,13,110903,"Democratic Candidates Debate in Las Vegas, Nevada",1
2016RTBDFL,0,2016,3,10,,"Republican Candidates Debate in TBD, FL",1
2016RTBD,0,,,,,Republican Candidates Debate in TBD,1
2016RHoustonTX,0,2016,2,26,,"Republican Candidates Debate in Houston, Texas",1
2016RGreenvilleSC,0,2016,2,13,,"Republican Candidates Debate in Greenville, South Carolina",1
2016RManchesterNH,0,2016,2,6,,"Republican Candidates Debate in Manchester, New Hampshire",1
2016RDesMoinesIA,0,2016,1,28,,"Republican Candidates Debate in Des Moines, IA",1
2016RNorthCharlestonSC,0,2016,1,14,,"Republican Candidates Debate in North Charleston, South Carolina",1
2016RLasVegasNV,,2015,12,15,111177,"Republican Candidates Debate in Las Vegas, Nevada",1
2016RMilwaukeeWI,,2015,11,10,110908,"Republican Candidates Debate in Milwaukee, Wisconsin",1
2016RBoulderCO,,2015,10,28,110906,"Republican Candidates Debate in Boulder, Colorado",1
2016RSimiValleyCA,,2015,9,16,110756,"Republican Candidates Debate in Simi Valley, CA",1
2016RClevelandOH,,2015,8,6,110489,"Republican Candidates Debate in Cleveland, Ohio",1
2016RUndercardLasVegasNV,,2015,12,15,111176,"Republican Candidates Undercard Debate in Las Vegas, Nevada",1
2016RUndercardMilwaukeeWI,,2015,11,10,110909,"Republican Candidates Undercard Debate in Milwaukee, Wisconsin",1
2016RUndercardBoulderCO,,2015,10,28,110907,"Republican Candidates Undercard Debate in Boulder, Colorado",1
2016RUndercardSimiValleyCA,,2015,9,16,110758,"Republican Candidates Undercard Debate in Simi Valley, CA",1
2016RUndercardClevelandOH,,2015,8,6,110757,"Republican Candidates Undercard Debate in Cleveland, Ohio",1
2012PBocaRatonFL,,2012,10,22,102344,"Presidential Debate at Lynn University in Boca Raton, FL",1
2012PHempsteadNY,,2012,10,16,102343,"Presidential Debate at Hofstra University in Hempstead, New York",1
2012PDenverCO,,2012,10,3,102317,Presidential Debate at the University of Denver,1
2012VDanvilleKY,,2012,10,11,102322,"Vice Presidential Debate at Centre College in Danville, KY",4
2012RMesaAZ,,2012,2,22,99556,"Republican Candidates Debate in Mesa, AZ",3
2012RJacksonvilleFL,,2012,1,26,99075,"Republican Candidates Debate in Jacksonville, FL",3
2012RTampaFL,,2012,1,23,99001,"Republican Candidates Debate in Tampa, FL",3
2012RCharlestonSC,,2012,1,19,98936,"Republican Candidates Debate in Charleston, South Carolina",3
2012RMyrtleBeachSC,,2012,1,16,98929,"Republican Candidates Debate in Myrtle Beach, South Carolina",3
2012RConcordNH,,2012,1,8,98814,"Republican Candidates Debate in Concord, New Hampshire",3
2012RManchesterNH,,2012,1,7,98813,"Republican Candidates Debate in Manchester, New Hampshire",3
2012RSiouxCityIA,,2011,12,15,97978,"Republican Candidates Debate in Sioux City, IA",3
2012RDesMoinesIA,,2011,12,10,97703,"Republican Candidates Debate in Des Moines, IA",3
