"","person","message","debate","date"
"1","CRAP","MODERATORS:Charlie Rose (PBS);Karen Tumulty (Washington Post);Juliana Goldman (Bloomberg TV)","2012RHanoverNH",2011-10-11
"9","ROSE","I'm Charlie Rose. Welcome to Dartmouth College in Hanover, New Hampshire, this great college established in 1769 in a state that often plays a crucial role in picking presidents. Tonight, it is the site of an important Republican presidential debate brought to you by Bloomberg, the Washington Post, and WBIN Television.  This is a time of anxiety about our country and our children's future in a continuing economic crisis. Many are in despair, not only about policy, but politics. And so we ask who has the character, who has the ideas, and who has the experience to lead.  This debate is different and distinctive. It is only about the economy. So we debate this evening about spending and taxes, deficit and debt, about the present and the future, about rich and poor, and about the role of government. And because we're at a table -- this is the kind of table I like -- the kind of kitchen table where families for generations have come together to talk and solve their problems.  The rules are one minute for an answer, 30 seconds for follow-up and rebuttal. If a candidate is singled out by name for criticism, they have 30 seconds to respond. Later in the debate, they will question each other.  I'm the moderator. Joining me are Karen Tumulty of the Washington Post and Julianna Goldman of Bloomberg News.  Joining us at the table, the eight Republican candidates. They are: former Governor of Utah Jon Huntsman; Minnesota Congresswoman Michele Bachmann; Texas Governor Rick Perry; former Godfather's Pizza CEO Herman Cain; former U.S. Senator from Pennsylvania Rick Santorum; former Speaker of the House of Representatives Newt Gingrich; Texas Congressman Ron Paul; former Massachusetts Governor Mitt Romney.  I am pleased to be here at this table to have an opportunity to talk to them about the issues that all of us are thinking about.  And I begin this evening first with Herman Cain. As you know, when Standard & Poor's downgraded American credit, they noted not only the economic difficulties, but the political dysfunction. So we begin this evening with the question: What would you do specifically to end the paralysis in Washington? ","2012RHanoverNH",2011-10-11
"12","CAIN","Two things. Present a bold plan to grow this economy, which I have put my 9-9-9 plan on the table, and it starts with throwing out the current tax code and putting in the 9-9-9 plan.  Secondly, get serious about bringing down the national debt. The only way we're going to do that is, the first year that I'm president and I oversee a fiscal year budget, make sure that revenues equals spending. If we stop adding to the national debt, we can bring it down.  So the answer is, we must grow this economy with a bold solution, which is why I have proposed 9-9-9, and at the same time get serious about not creating annual deficits so we can bring down the national debt. That would re-establish confidence in our system, and I believe we could get our credit rating back. ","2012RHanoverNH",2011-10-11
"13","ROSE","Governor Perry, are you prepared -- even though you've said that you want to make Washington inconsequential -- to go to Washington and, as Ronald Reagan did, compromise on spending cuts and taxes in order to produce results? ","2012RHanoverNH",2011-10-11
"15","PERRY","Well, certainly as the governor of the second largest state, I've had to deal with folks on both sides of the aisle. I've signed six balanced budgets as the governor of -- of Texas. So working with folks on both sides of the aisle and -- and bringing ideas, whether it's ways to redo your tax structure or what have you.  One of the things that I laid out today I think is a pretty bold plan, to put 1.2 million Americans working in the energy industry. And you don't need Congress to do that. You need a president with a plan, which I'm laying out over the next three days, and, clearly, the intent to open up this treasure trove that America's sitting on and getting America independent on the domestic energy side. It's time for another American Declaration of Independence. It's time for energy independence. ","2012RHanoverNH",2011-10-11
"16","ROSE","We'll come back to energy, also your economic plan this evening, but I go now to Governor Romney. The paralysis there, and everybody's concerned about it. What specifically would you be prepared to do to make the country moving again on addressing its problems? ","2012RHanoverNH",2011-10-11
"20","ROMNEY","I'd be prepared to be a leader. You can't get the country to go in the right direction and get Washington to work if you don't have a president that's a leader. And three years ago, we selected a person who had never had any leadership experience, never worked in the private sector, never had the opportunity to actually bring people together, and he hasn't been able to do so.  He said he'd bring us hope and change. Instead, he's divided the nation and tried to blame other people.  The real course for America is to have someone who is a leader, who can identify people in both parties who care more about the country than they care about getting reelected.  There are Democrats like that. There are Republicans like that. I was the governor of a state that had a few Democrats. People in this room know how many we had in Massachusetts. ","2012RHanoverNH",2011-10-11
"21","ROSE","So it's essential to deal with Democrats and be prepared to compromise on the big issues of our time? ","2012RHanoverNH",2011-10-11
"23","ROMNEY","You have to stand by your principles. At the same time, you know that good Democrats and good Republicans who love the country first will be able to find common ground from time to time and recognize we can't keep on spending like we're spending, we can't demand more from tax revenue from people, because that kills jobs and hurts working families.  We have got to help the middle class in this country. The only way that will come together is if you have people on both sides of the aisle who listen to a leader who has the experience of leading. And that's what America is looking for and desperately longing for. ","2012RHanoverNH",2011-10-11
"24","ROSE","And back to Governor Perry, this plan that you would like to lay out, because Governor Romney has said you have had two months to produce a plan, an economic plan, he's had a 59 point plan, what is the plan? What will you say specifically? ","2012RHanoverNH",2011-10-11
