"","person","message","debate","date"
"1","CRAP","MODERATORS:John Harwood (CNBC);Becky Quick (CNBC); andCarl Quintanilla (CNBC)","2016RUndercardBoulderCO",2015-10-28
"12","QUICK","Good evening, everyone. I'm Becky Quick, along with my CNBC colleagues, Carl Quintanilla and John Harwood. Some of CNBC's experts on the markets and personal finance will be here with us tonight as well. But let's get right to the debate rules. Candidates will get 30 seconds to answer an opening question and then 60 seconds to answer a formal question. They'll also get 30 seconds for rebuttals and follow-ups. All of this comes at the discretion of the moderators. We want you to weigh in tonight, either from home or wherever you are. By the way, if you check it out on the bottom of the screen, you can see your tweets right there using #cnbcgopdebate. You can also go to cnbc.com/vote throughout the night to tell us where you stand. First up, let's get right to the candidates for tonight's Republican Presidential Debate. I want to run you through the line on the stage from left to right. First up, Governor Bobby Jindal. [applause] Senator Rick Santorum. Governor George Pataki. And Senator Lindsey Graham. Obviously we have a lot to cover here tonight so let's get this started. My colleague, John Harwood, has our first question — John.","2016RUndercardBoulderCO",2015-10-28
"15","HARWOOD","We're going to pose this question to all candidates and go left to right, starting with Governor Jindal. Governor, a majority of Republican voters at this point in the campaign have made clear that they prefer someone from outside the political system. In 30 seconds, tell us why your experience inside the system would be more valuable than the fresh eyes an outsider would bring.","2016RUndercardBoulderCO",2015-10-28
"18","JINDAL","I think the reason voters are so frustrated is nothing seems to change in D.C. Look, over the next several hours, you're going to hear several Republicans all tell you they want to shrink the size of government and grow the American economy and it sounds great and we've got to do it. Here's the truth — of all these folks talking, I'm the only one that has cut the size of government. There's not two of us, there's one of us. The rest of it is all just hot air. When politicians talk, we need to pay attention to what they do, not what they say. I'm the only one that's reduced the size of government. Let's shrink the government economy. Let's grow the American economy.","2016RUndercardBoulderCO",2015-10-28
"20","HARWOOD","Thanks, Governor Jindal. Senator Santorum?","2016RUndercardBoulderCO",2015-10-28
"23","SANTORUM","Yes, I think it's one thing to shrink the size of a state government but it's another thing to actually get something accomplished in Washington. It's a much tougher field. And I'm the one in the — on this stage and, frankly, on both stages that has actually gone to Washington, said we would shrink government, said we would shake things up and actually delivered for the conservative cause, everything from welfare reform, which was the largest, most significant accomplishment in the last 25 years for conservatism. I authored the bill when I was in the House of Representatives; I managed the bill on the floor of the United States Senate. You need a conservative who can deliver and that's what I bring to the table.","2016RUndercardBoulderCO",2015-10-28
"25","HARWOOD","Thank you, Senator. Governor Pataki?","2016RUndercardBoulderCO",2015-10-28
"29","PATAKI","We need an outsider to run our party and to win the next election. Washington has become a corrupt insider game and everybody talks about how they're going to change the taxes, grow the economy. Nothing seems to change. But, by the way, Bobby, I shrunk the size of New York State's government when I left. We had reduced the employment by over 25,000 and cut taxes. But I understand that to change Washington you have to understand government as well. You can't just be an outsider. You can't just be someone who throws stones at Washington. You have to be someone who can actually bring people together across party lines. I can do that, I will do that if I have the chance to lead this party.","2016RUndercardBoulderCO",2015-10-28
"31","HARWOOD","Thank you, Governor. Senator Graham.","2016RUndercardBoulderCO",2015-10-28
"37","GRAHAM","Well, number one, thank you for having me here tonight. How about a round of applause for Boulder, Colorado? This is a beautiful place. [applause] Looking at their academic standards, the only way I could have gotten into this university is to be invited to this debate tonight. [laughter] But here's my take on things. Without national security, there is no economic security. Without the sacrifice of the veteran, all of our hopes and dreams are at risk. Just a few days ago, Hillary Clinton said that the problems with the V.A. are being exaggerated by Republicans. They are not, they are real.","2016RUndercardBoulderCO",2015-10-28
