person,long,name,Candidate
"BILL SHADEL, MODERATOR",Bill Shadel,SHADEL,0
"FRANK McGEE, MODERATOR",Frank McGee,MCGEE,0
"HOWARD K. SMITH, MODERATOR",Howard K. Smith,SMITH,0
MR. CATER,Douglass Cater,CATER,0
MR. CHANCELLOR,John Chancellor,CHANCELLOR,0
MR. CRONKITE,Walter Cronkite,CRONKITE,0
MR. DRUMMOND,Roscoe Drummond,DRUMMOND,0
MR. EDWARDS,John Edwards,EDWARDS,0
MR. FLEMING,Bob Fleming,FLEMING,0
MR. HOWE,Quincy Howe,HOWE,0
Mr. KENNEDY,John F. Kennedy,KENNEDY,1
MR. KENNEDY,John F. Kennedy,KENNEDY,1
MR. LEVY,Harold R. Levy,LEVY,0
MR. McGEE,Frank McGee,McGEE,0
MR. MORGAN,Edward P. Morgan,MORGAN,0
MR. NIVEN,Paul Niven,NIVEN,0
Mr. NIXON,Richard Nixon,NIXON,1
MR. NIXON,Richard Nixon,NIXON,1
MR. NOVINS,Stuart Novins,NOVINS,0
MR. SHADEL,Bill Shadel,SHADEL,0
MR. SINGISER,Frank Singiser,SINGISER,0
MR. SM1TH,Howard K. Smith,SMITH,0
Mr. SMITH,Howard K. Smith,SMITH,0
MR. SMITH,Howard K. Smith,SMITH,0
MR. SPIVAK,Alvin Spivak,SPIVAK,0
MR. VANOCUR,Sander Vanocur,VANOCUR,0
MR. VON FREMD,Charles Van Fremd,FREMD,0
MR. WARREN,Charles Warren,WARREN,0
"QUINCY HOWE, MODERATOR",Quincy Howe,HOWE,0
SENATOR KENNEDY,John F. Kennedy,KENNEDY,1
VOICE,VOICE,VOICE,0
