person,long,name,candidate,party
CLINTON,Bill Clinton,CLINTON,1,D
DOLE,Bob Dole,DOLE,1,R
DR. BERKLEY,,BERKLEY,0,
GORE,Al Gore,GORE,1,D
KEMP,Jack Kemp,KEMP,1,R
LEHRER,,LEHRER,0,
MR. BURNS,,BURNS,0,
MR. DAVID,,DAVID,0,
MR. DELGADO,,DELGADO,0,
MR. FLECK,,FLECK,0,
MR. GOLDFARB,,GOLDFARB,0,
MR. KITE,,KITE,0,
MR. MILLIGAN,,MILLIGAN,0,
MR. SMITH,,SMITH,0,
MS. DUBE,,DUBE,0,
MS. GIANNOTTI,,GIANNOTTI,0,
MS. GONZALEZ,,GONZALEZ,0,
MS. JOHNSON,,JOHNSON,0,
MS. KELLY,,KELLY,0,
MS. McAFEE,,MCAFEE,0,
MS. NAUDIN,,NAUDIN,0,
MS. O'CONNOR,,O'CONNOR,0,
MS. SANDERS,,SANDERS,0,
MS. SIEFERT,,SIEFERT,0,
MS. STRATEGOS,,STRATEGOS,0,
